corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3905,3.767478108,46.39249703,-4.733552983
corridor_0,3906,3.62618935,46.25120827,-4.874841741
corridor_0,3907,3.608164906,46.23318383,-4.892866185
corridor_0,3908,3.412596821,46.03761575,-5.08843427
corridor_0,3909,3.345038532,45.97005746,-5.155992558
corridor_0,3910,3.139464497,45.76448342,-5.361566594
corridor_0,3911,2.905348896,45.53036782,-5.595682195
corridor_0,3912,2.711516499,45.33653542,-5.789514592
corridor_0,3913,2.529120564,45.15413949,-5.971910527
corridor_0,3914,2.240668415,44.86568734,-6.260362676
corridor_0,3915,1.935706257,44.56072518,-6.565324834
corridor_0,3916,1.596034168,44.22105309,-6.904996922
corridor_0,3917,1.212275623,43.83729455,-7.288755467
corridor_0,3918,0.801982044,43.42700097,-7.699049047
corridor_0,3919,0.39408791,43.01910683,-8.106943181
corridor_0,3920,-0.007485271,42.61753365,-8.508516362
corridor_0,3921,-0.797776104,41.82724282,-9.298807195
corridor_0,3922,-1.480683208,41.14433572,-9.981714299
corridor_0,3923,-2.894448162,39.73057076,-11.39547925
corridor_0,3924,-4.829480053,37.79553887,-13.33051114
corridor_0,3925,-8.005625606,34.61939332,-16.5066567
corridor_0,4011,-6.977585674,35.64743325,-15.47861677
corridor_0,4012,-4.255993725,38.3690252,-12.75702482
corridor_0,4013,-2.496708752,40.12831017,-10.99773984
corridor_0,4014,-1.393963695,41.23105523,-9.894994786
corridor_0,4015,-0.647038341,41.97798058,-9.148069432
corridor_0,4016,0.16135323,42.78637215,-8.339677861
corridor_0,4017,0.557948231,43.18296716,-7.94308286
corridor_0,4018,1.089446186,43.71446511,-7.411584905
corridor_0,4019,1.437976002,44.06299493,-7.063055089
corridor_0,4020,1.931903004,44.55692193,-6.569128087
corridor_0,4021,2.183642506,44.80866143,-6.317388585
corridor_0,4022,2.521895527,45.14691445,-5.979135564
corridor_0,4023,2.838282703,45.46330163,-5.662748387
corridor_0,4024,3.058234333,45.68325326,-5.442796758
corridor_0,4025,3.340159535,45.96517846,-5.160871556
corridor_0,4026,3.529502033,46.15452096,-4.971529058
corridor_0,4027,3.781630634,46.40664956,-4.719400456
corridor_0,4028,4.012675404,46.63769433,-4.488355687
corridor_0,4029,4.097289204,46.72230813,-4.403741887
corridor_0,4030,4.288317799,46.91333672,-4.212713292
corridor_0,4031,4.39420998,47.0192289,-4.106821111
corridor_0,4032,4.616725086,47.24174401,-3.884306005
corridor_0,4033,4.727915882,47.35293481,-3.773115209
corridor_0,4034,4.717051624,47.34207055,-3.783979466
corridor_0,4035,4.712828754,47.33784768,-3.788202336
corridor_0,4036,4.56337273,47.18839165,-3.93765836
corridor_0,4037,4.33908379,46.96410271,-4.161947301
corridor_0,4038,4.056754231,46.68177316,-4.44427686
corridor_0,4039,3.77923119,46.40425011,-4.721799901
corridor_0,4040,3.482394337,46.10741326,-5.018636754
corridor_0,4041,3.156653523,45.78167245,-5.344377568
corridor_0,4042,2.816493153,45.44151208,-5.684537938
corridor_0,4043,2.442263722,45.06728265,-6.058767369
corridor_0,4044,2.0391227,44.66414162,-6.461908391
corridor_0,4045,1.509444355,44.13446328,-6.991586736
corridor_0,4046,1.076144337,43.70116326,-7.424886754
corridor_0,4047,0.647826313,43.27284524,-7.853204778
corridor_0,4048,0.02941811,42.65443703,-8.471612981
corridor_0,4049,-0.67559135,41.94942757,-9.176622441
corridor_0,4050,-1.209977032,41.41504189,-9.711008122
corridor_0,4051,-2.046906353,40.57811257,-10.54793744
